Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  73  ?b   => ?a  362  ?b	0.013888889	0.000018365	1	3	163358	3	?a
?a  1255  ?b   => ?a  1259  ?b	0.07480315	0.000576596	0.121794872	19	32952	156	?a
?a  44  ?b   => ?a  832  ?b	0.011278195	0.000108774	0.130434783	3	27580	23	?b
?a  214  ?b   => ?a  832  ?b	0.015037594	0.001881468	0.2	4	2126	20	?b
?a  17  ?b   => ?a  832  ?b	0.011278195	0.000652316	0.5	3	4599	6	?b
?a  564  ?b   => ?a  832  ?b	0.041353383	0.008613939	0.268292683	11	1277	41	?b
?b  764  ?a   => ?a  832  ?b	0.015037594	0.000023468	0.222222222	4	170442	18	?b
?b  1188  ?a   => ?a  0  ?b	0.016260163	0.000022129	0.5	2	90380	4	?a
?b  162  ?a   => ?a  153  ?b	0.127358491	0.230769231	0.870967742	27	117	31	?b
?b  782  ?a   => ?a  782  ?b	0.137082601	0.137082601	0.289962825	78	569	269	?b
?a  725  ?b   => ?a  782  ?b	0.015817223	0.002071823	0.75	9	4344	12	?b
?a  939  ?b   => ?a  195  ?b	0.124137931	0.209302326	0.620689655	18	86	29	?a
?b  108  ?a   => ?a  1211  ?b	0.051136364	0.001683738	0.5625	36	21381	64	?a
?a  107  ?b   => ?a  1211  ?b	0.052556818	0.001383229	0.46835443	37	26749	79	?a
?a  108  ?b   => ?a  1211  ?b	0.039772727	0.001309574	0.172839506	28	21381	162	?a
?b  107  ?a   => ?a  1211  ?b	0.028409091	0.000747692	0.215053763	20	26749	93	?a
?b  775  ?a   => ?a  1211  ?b	0.153409091	0.000440182	0.14025974	108	245353	770	?a
?a  775  ?b   => ?a  1211  ?b	0.257102273	0.000737713	0.163800905	181	245353	1105	?a
?a  1385  ?b   => ?a  149  ?b	0.055423595	0.005051963	0.95890411	70	13856	73	?a
?a  236  ?b   => ?a  149  ?b	0.011084719	0.000789578	0.608695652	14	17731	23	?a
?a  73  ?b   => ?a  149  ?b	0.010292953	0.00007958	0.764705882	13	163358	17	?a
?b  901  ?a   => ?a  1018  ?b	0.373913043	0.000070231	0.131097561	43	612263	328	?b
?b  216  ?a   => ?a  1079  ?b	0.038910506	0.000022848	1	10	437672	10	?b
?b  76  ?a   => ?a  255  ?b	0.038270188	0.044072279	0.531914894	100	2269	188	?a
?a  112  ?b   => ?a  903  ?b	0.012345679	0.000037862	0.131578947	5	132060	38	?a
?b  509  ?a   => ?a  392  ?b	0.16251298	0.000778142	0.597328244	313	402240	524	?a
