Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  429  ?a   => ?a  497  ?b	0.022900763	0.00057648	1	3	5204	3	?b
?a  458  ?b   => ?a  1024  ?b	0.362318841	0.00320041	0.769230769	50	15623	65	?a
?a  613  ?b   => ?a  497  ?b	0.030534351	0.00000849	0.210526316	4	471168	19	?b
?a  73  ?b   => ?a  149  ?b	0.090614887	0.001649776	1	28	16972	28	?a
?a  236  ?b   => ?a  149  ?b	0.019417476	0.000795229	0.6	6	7545	10	?a
?a  1385  ?b   => ?a  149  ?b	0.44012945	0.0595186	0.99270073	136	2285	137	?a
?b  12  ?a   => ?a  742  ?b	0.0456621	0.106951872	0.273972603	20	187	73	?b
?a  841  ?b   => ?a  742  ?b	0.109589041	0.305732484	0.96	48	157	50	?b
?a  799  ?b   => ?a  564  ?b	0.037671233	0.003121453	0.846153846	11	3524	13	?b
?a  214  ?b   => ?a  564  ?b	0.099315068	0.046178344	0.707317073	29	628	41	?b
?a  44  ?b   => ?a  564  ?b	0.061643836	0.001797484	0.666666667	18	10014	27	?b
?a  78  ?b   => ?a  564  ?b	0.02739726	0.000286625	0.347826087	8	27911	23	?b
?a  17  ?b   => ?a  564  ?b	0.023972603	0.003087781	0.7	7	2267	10	?b
?b  40  ?a   => ?a  564  ?b	0.017123288	0.000048032	0.25	5	104098	20	?b
?a  973  ?b   => ?a  841  ?b	0.038216561	0.002643172	1	6	2270	6	?b
?b  77  ?a   => ?a  147  ?b	0.023076923	0.000155255	1	3	19323	3	?b
?b  142  ?a   => ?a  147  ?b	0.015384615	0.000312402	1	2	6402	2	?b
?b  815  ?a   => ?a  147  ?b	0.015384615	0.000000375	1	2	5330404	2	?b
?b  12  ?a   => ?a  841  ?b	0.050955414	0.042780749	0.571428571	8	187	14	?b
?a  742  ?b   => ?a  841  ?b	0.305732484	0.109589041	0.923076923	48	438	52	?b
?a  1196  ?b   => ?a  147  ?b	0.023076923	0.000191718	0.6	3	15648	5	?b
?a  78  ?b   => ?a  1186  ?b	0.011173184	0.000071656	0.666666667	2	27911	3	?a
?a  88  ?b   => ?a  1186  ?b	0.329608939	0.000028158	0.719512195	59	2095341	82	?a
?a  918  ?b   => ?a  1048  ?b	0.013559322	0.000149936	0.25	4	26678	16	?a
?a  439  ?b   => ?a  1048  ?b	0.040677966	0.000023567	0.127659574	12	509177	94	?a
?a  270  ?b   => ?a  1048  ?b	0.037288136	0.000027032	0.169230769	11	406922	65	?a
?b  215  ?a   => ?a  1243  ?b	0.043010753	0.000003111	0.8	8	2571872	10	?b
?b  875  ?a   => ?a  875  ?b	0.070833333	0.070833333	0.414634146	34	480	82	?a
?b  40  ?a   => ?a  201  ?b	0.029411765	0.000028819	0.107142857	3	104098	28	?b
?b  139  ?a   => ?a  145  ?b	0.2	0.057639524	0.969230769	63	1093	65	?b
?b  1188  ?a   => ?a  180  ?b	0.053097345	0.000281875	0.4	6	21286	15	?b
?a  1092  ?b   => ?a  1332  ?b	1	0.00036182	1	102	281908	102	?a
?b  643  ?a   => ?a  642  ?b	0.451178451	0.366788321	0.990147783	402	1096	406	?b
?a  879  ?b   => ?a  666  ?b	0.021806854	0.000021395	0.875	7	327182	8	?b
?b  613  ?a   => ?a  666  ?b	0.059190031	0.000040325	0.95	19	471168	20	?b
?b  301  ?a   => ?a  300  ?b	0.014434643	0.015831135	1	18	1137	18	?b
?b  774  ?a   => ?a  300  ?b	0.034482759	0.114973262	0.661538462	43	374	65	?b
?b  679  ?a   => ?a  300  ?b	0.087409783	0.006155758	0.452282158	109	17707	241	?b
?a  1384  ?b   => ?a  300  ?b	0.057738573	0.007434944	0.517985612	72	9684	139	?b
?a  564  ?b   => ?a  214  ?b	0.046178344	0.099315068	0.707317073	29	292	41	?b
?b  247  ?a   => ?a  214  ?b	0.02388535	0.00243388	0.6	15	6163	25	?b
?a  17  ?b   => ?a  214  ?b	0.031847134	0.008822232	0.64516129	20	2267	31	?b
?a  44  ?b   => ?a  214  ?b	0.124203822	0.007789095	0.772277228	78	10014	101	?b
?a  799  ?b   => ?a  214  ?b	0.03343949	0.005959137	0.7	21	3524	30	?b
?b  40  ?a   => ?a  214  ?b	0.063694268	0.000384253	0.43956044	40	104098	91	?b
?a  78  ?b   => ?a  214  ?b	0.065286624	0.001468955	0.5125	41	27911	80	?b
?a  301  ?b   => ?a  300  ?b	0.408179631	0.447669305	0.87008547	509	1137	585	?b
?a  839  ?b   => ?a  101  ?b	0.054715623	0.004294513	0.737864078	76	17697	103	?a
?a  179  ?b   => ?a  123  ?b	0.078350515	0.000663524	0.62295082	38	57270	61	?a
?a  88  ?b   => ?a  123  ?b	0.439175258	0.000101654	0.539240506	213	2095341	395	?a
?a  394  ?b   => ?a  123  ?b	0.024742268	0.008230453	0.4	12	1458	30	?a
?a  138  ?b   => ?a  1383  ?b	0.015364917	0.000001448	0.5	12	8287617	24	?a
?a  243  ?b   => ?a  1287  ?b	0.012771392	0.075757576	0.434782609	10	132	23	?a
?a  1060  ?b   => ?a  1287  ?b	0.040868455	0.006985374	0.463768116	32	4581	69	?a
?a  1277  ?b   => ?a  1287  ?b	0.104725415	0.003044705	0.116642959	82	26932	703	?a
?b  1094  ?a   => ?a  1094  ?b	0.180422265	0.180422265	0.74015748	94	521	127	?a
?a  576  ?b   => ?a  1094  ?b	0.019193858	0.000208195	0.133333333	10	48032	75	?a
?a  613  ?b   => ?a  493  ?b	0.320326679	0.000749202	0.365424431	353	471168	966	?a
?b  479  ?a   => ?a  982  ?b	0.020945542	0.015514184	0.486111111	35	2256	72	?a
?a  108  ?b   => ?a  131  ?b	0.01946472	0.000948879	1	8	8431	8	?b
?b  132  ?a   => ?a  131  ?b	0.236009732	0.042939354	0.97	97	2259	100	?b
?b  109  ?a   => ?a  67  ?b	0.040466392	0.002221887	0.331460674	59	26554	178	?b
?a  755  ?b   => ?a  813  ?b	0.011560694	0.000409179	0.827586207	24	58654	29	?b
?a  265  ?b   => ?a  813  ?b	0.010597303	0.000163547	0.611111111	22	134518	36	?b
?a  170  ?b   => ?a  813  ?b	0.012524085	0.000211123	0.440677966	26	123151	59	?b
?b  142  ?a   => ?a  813  ?b	0.166666667	0.054045611	0.905759162	346	6402	382	?b
?a  112  ?b   => ?a  1365  ?b	0.440104167	0.021683346	0.829787234	1014	46764	1222	?b
?b  109  ?a   => ?a  295  ?b	0.026086957	0.000225955	1	6	26554	6	?b
?b  1146  ?a   => ?a  295  ?b	0.043478261	0.000725426	0.833333333	10	13785	12	?b
?b  613  ?a   => ?a  295  ?b	0.026086957	0.000012734	0.6	6	471168	10	?b
?b  78  ?a   => ?a  295  ?b	0.013043478	0.000107485	0.6	3	27911	5	?b
?a  606  ?b   => ?a  295  ?b	0.1	0.003530315	0.92	23	6515	25	?b
?a  247  ?b   => ?a  295  ?b	0.013043478	0.000486776	0.75	3	6163	4	?b
?a  216  ?b   => ?a  137  ?b	0.047124601	0.000640101	0.491666667	59	92173	120	?a
?a  948  ?b   => ?a  137  ?b	0.103035144	0.003511542	0.110634648	129	36736	1166	?a
?a  943  ?b   => ?a  137  ?b	0.083067093	0.001898572	0.102362205	104	54778	1016	?a
?a  193  ?b   => ?a  137  ?b	0.162939297	0.007315499	0.227678571	204	27886	896	?a
?b  613  ?a   => ?a  1304  ?b	0.017241379	0.00000849	0.444444444	4	471168	9	?a
?a  879  ?b   => ?a  1304  ?b	0.021551724	0.000015282	0.11627907	5	327182	43	?a
?b  415  ?a   => ?a  173  ?b	0.014124294	0.000163822	0.333333333	5	30521	15	?a
?a  1094  ?b   => ?a  173  ?b	0.011299435	0.007677543	0.307692308	4	521	13	?a
?b  131  ?a   => ?a  132  ?b	0.042939354	0.236009732	0.989795918	97	411	98	?b
?b  66  ?a   => ?a  52  ?b	0.090909091	0.202898551	1	28	138	28	?a
?b  265  ?a   => ?a  168  ?b	0.017391304	0.000029736	0.173913043	4	134518	23	?b
?a  755  ?b   => ?a  168  ?b	0.013043478	0.000051147	0.75	3	58654	4	?b
?a  619  ?b   => ?a  168  ?b	0.02173913	0.000421905	0.172413793	5	11851	29	?b
?a  265  ?b   => ?a  168  ?b	0.039130435	0.000066906	0.290322581	9	134518	31	?b
?a  1258  ?b   => ?a  703  ?b	0.01762218	0.034899953	0.806451613	75	2149	93	?a
?a  1233  ?b   => ?a  703  ?b	0.04981203	0.026693528	0.929824561	212	7942	228	?a
?a  112  ?b   => ?a  703  ?b	0.146146617	0.01330083	0.574861368	622	46764	1082	?a
?b  385  ?a   => ?a  383  ?b	0.235294118	0.192670157	0.65248227	184	955	282	?b
?b  215  ?a   => ?a  496  ?b	0.052199504	0.000131033	0.248708487	337	2571872	1355	?b
?b  345  ?a   => ?a  496  ?b	0.137856258	0.127415891	0.360908354	890	6985	2466	?b
?a  179  ?b   => ?a  1134  ?b	0.252837515	0.029561725	0.631245339	1693	57270	2682	?a
?a  88  ?b   => ?a  1134  ?b	0.013739546	0.000043907	0.420091324	92	2095341	219	?a
?b  271  ?a   => ?a  271  ?b	0.147358807	0.147358807	0.24605999	968	6569	3934	?b
?a  1255  ?b   => ?a  1341  ?b	0.23828045	0.074396012	0.495530013	1164	15646	2349	?a
?a  808  ?b   => ?a  1341  ?b	0.08618219	0.002422004	0.100935028	421	173823	4171	?a
?a  73  ?b   => ?a  1292  ?b	0.145299145	0.00100165	0.223684211	17	16972	76	?a
?a  267  ?b   => ?a  1002  ?b	0.44600939	0.058823529	0.15625	95	1615	608	?b
?a  44  ?b   => ?a  17  ?b	0.062196736	0.014080288	0.762162162	141	10014	185	?b
?b  40  ?a   => ?a  17  ?b	0.035288928	0.000768507	0.196078431	80	104098	408	?b
?a  573  ?b   => ?a  574  ?b	0.027272727	0.075	0.230769231	6	80	26	?a
?a  571  ?b   => ?a  574  ?b	0.054545455	0.142857143	0.545454545	12	84	22	?a
?a  948  ?b   => ?a  257  ?b	0.15640599	0.005117596	0.143840857	188	36736	1307	?a
?a  163  ?b   => ?a  1175  ?b	0.013755158	0.012987013	0.243902439	10	770	41	?b
?a  613  ?b   => ?a  59  ?b	0.03138732	0.000212239	0.194174757	100	471168	515	?a
?a  1056  ?b   => ?a  388  ?b	0.012448133	0.000380969	0.642857143	9	23624	14	?a
?a  613  ?b   => ?a  388  ?b	0.034578147	0.00005306	0.357142857	25	471168	70	?a
?a  78  ?b   => ?a  11  ?b	0.376923077	0.00351116	0.590361446	98	27911	166	?a
?a  216  ?b   => ?a  11  ?b	0.084615385	0.000238682	0.100456621	22	92173	219	?a
?b  40  ?a   => ?a  560  ?b	0.010050251	0.000019213	0.153846154	2	104098	13	?a
?a  44  ?b   => ?a  560  ?b	0.055276382	0.001098462	0.523809524	11	10014	21	?a
?a  879  ?b   => ?a  560  ?b	0.015075377	0.000009169	0.107142857	3	327182	28	?a
?a  17  ?b   => ?a  560  ?b	0.020100503	0.001764446	0.666666667	4	2267	6	?a
?b  879  ?a   => ?a  489  ?b	0.020987654	0.000103918	0.441558442	34	327182	77	?a
?b  112  ?a   => ?a  489  ?b	0.010493827	0.000363527	0.944444444	17	46764	18	?a
?a  1287  ?b   => ?a  243  ?b	0.075757576	0.012771392	0.4	10	783	25	?a
?a  216  ?b   => ?a  243  ?b	0.015151515	0.000021698	0.5	2	92173	4	?a
?b  215  ?a   => ?a  309  ?b	0.047945205	0.000002722	0.583333333	7	2571872	12	?b
?b  1  ?a   => ?a  309  ?b	0.075342466	0.000909843	1	11	12090	11	?b
?b  1196  ?a   => ?a  1015  ?b	0.027439024	0.000575153	0.428571429	9	15648	21	?a
?a  1254  ?b   => ?a  1015  ?b	0.155487805	0.004785138	0.277173913	51	10658	184	?a
?a  483  ?b   => ?a  1015  ?b	0.024390244	0.003972195	0.8	8	2014	10	?a
?a  839  ?b   => ?a  25  ?b	0.243861607	0.024693451	0.62697274	437	17697	697	?a
?b  330  ?a   => ?a  160  ?b	0.054901961	0.02351953	0.622222222	56	2381	90	?b
?a  25  ?b   => ?a  839  ?b	0.024693451	0.243861607	0.621621622	437	1792	703	?a
?b  480  ?a   => ?a  389  ?b	0.010437324	0.000000703	0.124378109	100	142200559	804	?b
?b  1347  ?a   => ?a  389  ?b	0.092579063	0.000187487	0.653647752	887	4730986	1357	?b
?b  872  ?a   => ?a  872  ?b	0.076502732	0.076502732	0.11965812	28	366	234	?b
?a  1347  ?b   => ?a  914  ?b	0.020728643	0.000006975	0.785714286	33	4730986	42	?a
?a  112  ?b   => ?a  914  ?b	0.027638191	0.000940895	0.814814815	44	46764	54	?a
?a  454  ?b   => ?a  914  ?b	0.059673367	0.000262133	0.246753247	95	362412	385	?a
?a  242  ?b   => ?a  914  ?b	0.125628141	0.002217319	0.724637681	200	90199	276	?a
?a  1385  ?b   => ?a  946  ?b	0.049180328	0.005251641	1	12	2285	12	?b
?a  44  ?b   => ?a  946  ?b	0.069672131	0.001697623	0.62962963	17	10014	27	?b
?b  40  ?a   => ?a  946  ?b	0.049180328	0.000115276	0.157894737	12	104098	76	?b
?a  439  ?b   => ?a  900  ?b	0.078947368	0.000017676	0.134328358	9	509177	67	?a
?a  299  ?b   => ?a  900  ?b	0.01754386	0.000011324	0.4	2	176614	5	?a
?a  270  ?b   => ?a  900  ?b	0.070175439	0.00001966	0.181818182	8	406922	44	?a
?b  227  ?a   => ?a  228  ?b	0.046220772	0.237430168	0.997652582	425	1790	426	?b
?b  1237  ?a   => ?a  163  ?b	0.051948052	0.055248619	0.615384615	40	724	65	?b
?b  713  ?a   => ?a  532  ?b	0.130859375	0.103395062	0.712765957	67	648	94	?b
?b  200  ?a   => ?a  200  ?b	0.832352941	0.832352941	0.996478873	283	340	284	?a
?a  17  ?b   => ?a  44  ?b	0.014080288	0.062196736	0.903846154	141	2267	156	?b
?a  799  ?b   => ?a  44  ?b	0.016177352	0.045970488	0.743119266	162	3524	218	?b
?b  40  ?a   => ?a  44  ?b	0.013181546	0.001268036	0.184357542	132	104098	716	?b
