Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  879  ?a   => ?a  653  ?b	0.08974359	0.000011521	0.304347826	14	1215214	46	?a
?a  445  ?b   => ?a  446  ?b	0.070234114	0.072413793	1	21	290	21	?a
?b  77  ?a   => ?a  535  ?b	0.024793388	0.000044177	0.1875	3	67908	16	?b
?b  107  ?a   => ?a  1184  ?b	0.134361233	0.002030119	0.924242424	122	60095	132	?a
?a  170  ?b   => ?a  1184  ?b	0.073788546	0.000083571	0.752808989	67	801712	89	?a
?b  879  ?a   => ?a  1184  ?b	0.014317181	0.000010698	0.433333333	13	1215214	30	?a
?b  166  ?a   => ?a  1184  ?b	0.080396476	0.000090279	0.83908046	73	808603	87	?a
?a  108  ?b   => ?a  1184  ?b	0.15969163	0.002385614	0.900621118	145	60781	161	?a
?a  1146  ?b   => ?a  1184  ?b	0.015418502	0.000325279	0.264150943	14	43040	53	?a
?a  78  ?b   => ?a  1184  ?b	0.017621145	0.00004181	0.175824176	16	382684	91	?a
?b  427  ?a   => ?a  427  ?b	0.303763441	0.303763441	0.733766234	339	1116	462	?b
?a  491  ?b   => ?a  961  ?b	0.157033806	0.000768389	0.631578947	144	187405	228	?a
?a  613  ?b   => ?a  302  ?b	0.02182285	0.00001048	0.5	34	3244389	68	?a
?a  671  ?b   => ?a  734  ?b	0.020725389	0.058394161	1	8	137	8	?a
?a  265  ?b   => ?a  734  ?b	0.041450777	0.000037365	0.390243902	16	428212	41	?a
?b  265  ?a   => ?a  734  ?b	0.023316062	0.000021018	0.310344828	9	428212	29	?a
?a  34  ?b   => ?a  734  ?b	0.028497409	0.002604783	0.239130435	11	4223	46	?a
?a  35  ?b   => ?a  734  ?b	0.025906736	0.004800768	0.4	10	2083	25	?a
?a  112  ?b   => ?a  734  ?b	0.010362694	0.000018449	0.16	4	216816	25	?a
?a  26  ?b   => ?a  734  ?b	0.010362694	0.000146665	0.444444444	4	27273	9	?a
?a  288  ?b   => ?a  1302  ?b	0.986134454	0.001659709	0.997026338	2347	1414103	2354	?a
?a  454  ?b   => ?a  1302  ?b	0.984453782	0.001505919	0.998721228	2343	1555861	2346	?a
?a  73  ?b   => ?a  752  ?b	0.035598706	0.000047051	0.846153846	11	233790	13	?a
?b  210  ?a   => ?a  177  ?b	0.742022715	0.83000605	0.988472622	1372	1653	1388	?a
?b  160  ?a   => ?a  1133  ?b	0.100173712	0.031801471	0.950549451	173	5440	182	?a
?b  1382  ?a   => ?a  303  ?b	0.97954866	0.000775023	0.494834343	1389	1792206	2807	?b
?a  669  ?b   => ?a  315  ?b	0.053097345	0.007398274	0.857142857	6	811	7	?b
?a  44  ?b   => ?a  315  ?b	0.10619469	0.000258972	0.444444444	12	46337	27	?b
?a  799  ?b   => ?a  315  ?b	0.168141593	0.000980949	0.575757576	19	19369	33	?b
?b  8  ?a   => ?a  315  ?b	0.265486726	0.000087343	0.37037037	30	343475	81	?b
?b  1165  ?a   => ?a  1165  ?b	0.257525084	0.257525084	0.312373225	154	598	493	?b
?a  879  ?b   => ?a  1131  ?b	0.136658031	0.000173632	0.242807825	211	1215214	869	?a
?b  196  ?a   => ?a  1027  ?b	0.265682657	0.058823529	0.727272727	72	1224	99	?a
?b  813  ?a   => ?a  1027  ?b	0.011070111	0.000255276	0.75	3	11752	4	?a
?a  142  ?b   => ?a  1027  ?b	0.033210332	0.000275364	0.692307692	9	32684	13	?a
?b  98  ?a   => ?a  1088  ?b	0.76908867	0.005593522	0.99363564	3747	669882	3771	?a
?b  1027  ?a   => ?a  196  ?b	0.058823529	0.265682657	0.857142857	72	271	84	?a
?b  813  ?a   => ?a  196  ?b	0.480392157	0.050034037	0.960784314	588	11752	612	?a
?a  142  ?b   => ?a  196  ?b	0.658496732	0.024660384	0.949352179	806	32684	849	?a
?a  836  ?b   => ?a  196  ?b	0.553104575	0.705208333	0.982583454	677	960	689	?a
?a  1146  ?b   => ?a  994  ?b	0.035612536	0.000580855	0.925925926	25	43040	27	?a
?b  1133  ?a   => ?a  160  ?b	0.031801471	0.100173712	0.950549451	173	1727	182	?a
?b  330  ?a   => ?a  160  ?b	0.169852941	0.063856254	0.697885196	924	14470	1324	?a
?b  345  ?a   => ?a  1285  ?b	0.364	0.01027668	0.827272727	91	8855	110	?b
?b  112  ?a   => ?a  1285  ?b	0.024	0.000027673	0.12	6	216816	50	?b
?b  454  ?a   => ?a  1285  ?b	0.012	0.000001928	0.75	3	1555861	4	?b
?b  88  ?a   => ?a  1285  ?b	0.012	0.000000415	0.6	3	7226020	5	?b
?b  1255  ?a   => ?a  751  ?b	0.043677606	0.003170821	0.175557711	181	57083	1031	?a
?a  143  ?b   => ?a  751  ?b	0.716457529	0.033555606	0.341225147	2969	88480	8701	?a
?a  1  ?b   => ?a  394  ?b	0.04795391	0.000667229	0.901273885	566	848284	628	?a
?a  88  ?b   => ?a  394  ?b	0.190629501	0.000311375	0.794772165	2250	7226020	2831	?a
?a  215  ?b   => ?a  394  ?b	0.094043887	0.000112535	0.149434572	1110	9863579	7428	?a
