Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  695  ?b   => ?a  223  ?b	0.4375	0.007035176	0.44	77	10945	175	?a
?b  1165  ?a   => ?a  1165  ?b	0.154269972	0.154269972	0.186046512	56	363	301	?b
?a  40  ?b   => ?a  1069  ?b	0.058333333	0.000126848	0.152173913	42	331105	276	?a
?b  643  ?a   => ?a  642  ?b	0.503178928	0.485539001	0.955172414	554	1141	580	?b
?b  642  ?a   => ?a  643  ?b	0.485539001	0.503178928	0.943781942	554	1101	587	?a
?b  454  ?a   => ?a  725  ?b	0.054763691	0.000136257	0.675925926	146	1071504	216	?b
?b  613  ?a   => ?a  725  ?b	0.349212303	0.000449411	0.850228311	931	2071600	1095	?b
?a  600  ?b   => ?a  722  ?b	0.139144342	0.074566102	0.172447968	348	4667	2018	?b
?a  719  ?b   => ?a  722  ?b	0.093962415	0.082196572	0.211521152	235	2859	1111	?b
?a  265  ?b   => ?a  807  ?b	0.017653167	0.000054032	0.109677419	17	314630	155	?b
?a  1360  ?b   => ?a  1076  ?b	0.012095714	0.026136364	0.807017544	46	1760	57	?a
?a  723  ?b   => ?a  719  ?b	0.047918853	0.56147541	0.665048544	137	244	206	?b
?a  721  ?b   => ?a  719  ?b	0.039874082	0.288607595	0.527777778	114	395	216	?b
?a  722  ?b   => ?a  719  ?b	0.082196572	0.093962415	0.174981385	235	2501	1343	?b
?a  600  ?b   => ?a  719  ?b	0.223154949	0.136704521	0.304244158	638	4667	2097	?b
?a  564  ?b   => ?a  214  ?b	0.026034998	0.043079096	0.4765625	61	1416	128	?b
?a  799  ?b   => ?a  214  ?b	0.030729834	0.005318363	0.444444444	72	13538	162	?b
?b  40  ?a   => ?a  214  ?b	0.120358515	0.000851694	0.414705882	282	331105	680	?b
?a  17  ?b   => ?a  214  ?b	0.031156637	0.008457884	0.540740741	73	8631	135	?b
?a  44  ?b   => ?a  214  ?b	0.12889458	0.009310355	0.678651685	302	32437	445	?b
?a  78  ?b   => ?a  214  ?b	0.057618438	0.001032947	0.482142857	135	130694	280	?b
?b  247  ?a   => ?a  214  ?b	0.021340162	0.002852741	0.381679389	50	17527	131	?b
?b  366  ?a   => ?a  365  ?b	0.503126777	0.316240843	0.986072423	1770	5597	1795	?a
?a  40  ?b   => ?a  982  ?b	0.010268949	0.000126848	0.274509804	42	331105	153	?a
?b  479  ?a   => ?a  982  ?b	0.129339853	0.060965772	0.550468262	529	8677	961	?a
?a  216  ?b   => ?a  7  ?b	0.017857143	0.000004869	0.2	2	410729	10	?a
?a  901  ?b   => ?a  982  ?b	0.366992665	0.002135567	0.102401419	1501	702858	14658	?a
?b  1382  ?a   => ?a  991  ?b	0.256855064	0.00051866	0.498371336	459	884973	921	?b
?a  229  ?b   => ?a  221  ?b	0.456450016	0.05919223	0.571694215	2767	46746	4840	?a
?b  44  ?a   => ?a  48  ?b	0.019480519	0.000092487	0.6	3	32437	5	?a
?b  610  ?a   => ?a  820  ?b	0.050632911	0.000123461	0.16	8	64798	50	?b
?a  775  ?b   => ?a  820  ?b	0.335443038	0.000161805	0.123831776	53	327555	428	?b
?a  1211  ?b   => ?a  820  ?b	0.012658228	0.001964637	0.166666667	2	1018	12	?b
?a  111  ?b   => ?a  820  ?b	0.050632911	0.000157118	0.242424242	8	50917	33	?b
?a  265  ?b   => ?a  545  ?b	0.037267081	0.00032419	0.439655172	102	314630	232	?a
?b  265  ?a   => ?a  545  ?b	0.032517355	0.000282872	0.456410256	89	314630	195	?a
?b  545  ?a   => ?a  545  ?b	0.497259773	0.497259773	0.978432782	1361	2737	1391	?a
?b  112  ?a   => ?a  545  ?b	0.03617099	0.000586924	0.717391304	99	168676	138	?a
?a  112  ?b   => ?a  545  ?b	0.039824626	0.000646209	0.173290938	109	168676	629	?a
?b  1382  ?a   => ?a  1173  ?b	0.472646433	0.002762796	0.499897771	2445	884973	4891	?b
?a  179  ?b   => ?a  123  ?b	0.031380753	0.000418177	0.542168675	90	215220	166	?a
?a  88  ?b   => ?a  123  ?b	0.347280335	0.000151119	0.385747483	996	6590831	2582	?a
?b  547  ?a   => ?a  546  ?b	0.589552239	0.552447552	0.975308642	79	143	81	?a
?a  719  ?b   => ?a  723  ?b	0.56147541	0.047918853	0.369272237	137	2859	371	?b
?a  600  ?b   => ?a  723  ?b	0.528688525	0.027640883	0.349593496	129	4667	369	?b
?a  721  ?b   => ?a  723  ?b	0.012295082	0.007594937	0.157894737	3	395	19	?b
?a  760  ?b   => ?a  895  ?b	0.025641026	0.000056442	0.136363636	6	106304	44	?a
?b  1188  ?a   => ?a  0  ?b	0.177514793	0.000090079	0.681818182	30	333040	44	?a
?b  0  ?a   => ?a  0  ?b	0.023668639	0.023668639	0.666666667	4	169	6	?a
?b  726  ?a   => ?a  726  ?b	0.022641509	0.022641509	1	6	265	6	?a
?a  1277  ?b   => ?a  560  ?b	0.033195021	0.000173675	0.168421053	16	92126	95	?a
?a  17  ?b   => ?a  560  ?b	0.020746888	0.001158614	0.357142857	10	8631	28	?a
?a  44  ?b   => ?a  560  ?b	0.05186722	0.000770725	0.490196078	25	32437	51	?a
?b  606  ?a   => ?a  738  ?b	0.048076923	0.000225276	0.128205128	5	22195	39	?a
?b  295  ?a   => ?a  738  ?b	0.028846154	0.004366812	0.375	3	687	8	?a
?a  1146  ?b   => ?a  738  ?b	0.076923077	0.000270133	0.103896104	8	29615	77	?a
?b  10  ?a   => ?a  738  ?b	0.048076923	0.000796559	0.714285714	5	6277	7	?a
?a  78  ?b   => ?a  290  ?b	0.038910506	0.000076515	0.344827586	10	130694	29	?a
?a  841  ?b   => ?a  742  ?b	0.090236686	0.139269406	0.968253968	61	438	63	?b
?b  12  ?a   => ?a  742  ?b	0.415680473	0.214996174	0.422556391	281	1307	665	?b
?b  979  ?a   => ?a  709  ?b	0.018018018	0.000039563	0.285714286	4	101105	14	?b
?b  774  ?a   => ?a  300  ?b	0.143201931	0.37892496	0.650822669	712	1879	1094	?b
?b  301  ?a   => ?a  300  ?b	0.01468222	0.014426877	0.829545455	73	5060	88	?b
?b  679  ?a   => ?a  300  ?b	0.215808528	0.024219579	0.468150087	1073	44303	2292	?b
?a  301  ?b   => ?a  300  ?b	0.41069992	0.403557312	0.738250181	2042	5060	2766	?b
?a  130  ?b   => ?a  121  ?b	0.086688387	0.069360395	0.41182974	745	10741	1809	?a
?a  1384  ?b   => ?a  300  ?b	0.064360418	0.008825638	0.245964643	320	36258	1301	?b
?b  836  ?a   => ?a  813  ?b	0.033333333	0.537906137	1	298	554	298	?b
?b  196  ?a   => ?a  813  ?b	0.03310962	0.418670438	0.993288591	296	707	298	?b
?a  755  ?b   => ?a  813  ?b	0.012304251	0.000598522	0.873015873	110	183786	126	?b
?a  265  ?b   => ?a  813  ?b	0.010402685	0.000295585	0.279279279	93	314630	333	?b
?b  142  ?a   => ?a  813  ?b	0.520134228	0.208268016	0.931490385	4650	22327	4992	?b
?a  534  ?b   => ?a  116  ?b	0.117265763	0.000006914	0.164056059	199	28782950	1213	?a
?b  100  ?a   => ?a  125  ?b	0.028455981	0.009294366	0.263725801	831	89409	3151	?a
?a  207  ?b   => ?a  125  ?b	0.254220457	0.012446498	0.329765025	7424	596473	22513	?a
?b  768  ?a   => ?a  54  ?b	0.060606061	0.002192448	0.413793103	36	16420	87	?a
?a  439  ?b   => ?a  54  ?b	0.013468013	0.000004071	0.131147541	8	1964972	61	?a
?a  270  ?b   => ?a  54  ?b	0.052188552	0.000020991	0.837837838	31	1476828	37	?a
?b  99  ?a   => ?a  833  ?b	0.056458512	0.00019021	0.114186851	66	346984	578	?a
?a  635  ?b   => ?a  833  ?b	0.319076133	0.17924075	0.32834507	373	2081	1136	?a
?a  100  ?b   => ?a  833  ?b	0.396065013	0.00517845	0.397084048	463	89409	1166	?a
?a  1370  ?b   => ?a  36  ?b	0.046268657	0.013163482	0.861111111	31	2355	36	?a
?b  265  ?a   => ?a  36  ?b	0.017910448	0.00003814	0.157894737	12	314630	76	?a
?a  265  ?b   => ?a  36  ?b	0.020895522	0.000044497	0.132075472	14	314630	106	?a
?a  529  ?b   => ?a  557  ?b	0.088167053	0.013058419	0.189054726	38	2910	201	?b
?a  1118  ?b   => ?a  557  ?b	0.018561485	0.000322997	0.16	8	24768	50	?b
?a  1084  ?b   => ?a  557  ?b	0.078886311	0.013871889	0.171717172	34	2451	198	?b
?a  948  ?b   => ?a  557  ?b	0.313225058	0.001401534	0.347043702	135	96323	389	?b
